2017-01-12 02:42:00 - open: 19861.000000, high: 19862.000000, close: 19860.000000, low: 19860.000000, volume: 24
2017-01-12 02:43:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 9
2017-01-12 02:44:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 8
2017-01-12 02:45:00 - open: 19859.000000, high: 19860.000000, close: 19860.000000, low: 19859.000000, volume: 8
2017-01-12 02:46:00 - open: 19862.000000, high: 19862.000000, close: 19861.000000, low: 19861.000000, volume: 2
2017-01-12 02:47:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19859.000000, volume: 23
2017-01-12 02:48:00 - open: 19860.000000, high: 19861.000000, close: 19861.000000, low: 19860.000000, volume: 9
2017-01-12 02:49:00 - open: 19859.000000, high: 19860.000000, close: 19860.000000, low: 19859.000000, volume: 5
2017-01-12 02:50:00 - open: 19860.000000, high: 19861.000000, close: 19861.000000, low: 19859.000000, volume: 11
2017-01-12 02:51:00 - open: 19861.000000, high: 19861.000000, close: 19861.000000, low: 19861.000000, volume: 0
2017-01-12 02:52:00 - open: 19860.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 10
2017-01-12 02:53:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 3
2017-01-12 02:54:00 - open: 19861.000000, high: 19863.000000, close: 19862.000000, low: 19861.000000, volume: 11
2017-01-12 02:55:00 - open: 19862.000000, high: 19862.000000, close: 19862.000000, low: 19862.000000, volume: 3
2017-01-12 02:56:00 - open: 19861.000000, high: 19861.000000, close: 19861.000000, low: 19861.000000, volume: 7
2017-01-12 02:57:00 - open: 19862.000000, high: 19862.000000, close: 19862.000000, low: 19862.000000, volume: 3
2017-01-12 02:58:00 - open: 19862.000000, high: 19862.000000, close: 19862.000000, low: 19862.000000, volume: 0
2017-01-12 02:59:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 9
2017-01-12 03:00:00 - open: 19861.000000, high: 19862.000000, close: 19862.000000, low: 19861.000000, volume: 2
2017-01-12 03:01:00 - open: 19861.000000, high: 19861.000000, close: 19861.000000, low: 19861.000000, volume: 3
2017-01-12 03:02:00 - open: 19861.000000, high: 19861.000000, close: 19861.000000, low: 19861.000000, volume: 2
2017-01-12 03:03:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19859.000000, volume: 10
2017-01-12 03:04:00 - open: 19861.000000, high: 19861.000000, close: 19860.000000, low: 19860.000000, volume: 2
2017-01-12 03:05:00 - open: 19859.000000, high: 19860.000000, close: 19860.000000, low: 19859.000000, volume: 2
2017-01-12 03:06:00 - open: 19860.000000, high: 19860.000000, close: 19860.000000, low: 19860.000000, volume: 4
2017-01-12 03:07:00 - open: 19860.000000, high: 19860.000000, close: 19858.000000, low: 19858.000000, volume: 13
2017-01-12 03:08:00 - open: 19858.000000, high: 19859.000000, close: 19856.000000, low: 19856.000000, volume: 35
2017-01-12 03:09:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19854.000000, volume: 10
2017-01-12 03:10:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19853.000000, volume: 39
2017-01-12 03:11:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19853.000000, volume: 19
2017-01-12 03:12:00 - open: 19854.000000, high: 19855.000000, close: 19855.000000, low: 19854.000000, volume: 4
2017-01-12 03:13:00 - open: 19855.000000, high: 19855.000000, close: 19854.000000, low: 19853.000000, volume: 13
2017-01-12 03:14:00 - open: 19854.000000, high: 19854.000000, close: 19853.000000, low: 19851.000000, volume: 31
2017-01-12 03:15:00 - open: 19853.000000, high: 19854.000000, close: 19852.000000, low: 19852.000000, volume: 3
2017-01-12 03:16:00 - open: 19853.000000, high: 19853.000000, close: 19851.000000, low: 19851.000000, volume: 4
2017-01-12 03:17:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 10
2017-01-12 03:18:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 0
2017-01-12 03:19:00 - open: 19852.000000, high: 19853.000000, close: 19853.000000, low: 19852.000000, volume: 9
2017-01-12 03:20:00 - open: 19853.000000, high: 19853.000000, close: 19853.000000, low: 19852.000000, volume: 3
2017-01-12 03:21:00 - open: 19852.000000, high: 19852.000000, close: 19852.000000, low: 19852.000000, volume: 5
2017-01-12 03:22:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 8
2017-01-12 03:23:00 - open: 19854.000000, high: 19856.000000, close: 19856.000000, low: 19854.000000, volume: 9
2017-01-12 03:24:00 - open: 19855.000000, high: 19856.000000, close: 19856.000000, low: 19855.000000, volume: 11
2017-01-12 03:25:00 - open: 19856.000000, high: 19856.000000, close: 19856.000000, low: 19856.000000, volume: 4
2017-01-12 03:26:00 - open: 19856.000000, high: 19856.000000, close: 19856.000000, low: 19856.000000, volume: 0
2017-01-12 03:27:00 - open: 19856.000000, high: 19856.000000, close: 19856.000000, low: 19856.000000, volume: 2
2017-01-12 03:28:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19855.000000, volume: 1
2017-01-12 03:29:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19855.000000, volume: 4
2017-01-12 03:30:00 - open: 19855.000000, high: 19856.000000, close: 19855.000000, low: 19855.000000, volume: 13
2017-01-12 03:31:00 - open: 19856.000000, high: 19856.000000, close: 19856.000000, low: 19856.000000, volume: 1
2017-01-12 03:32:00 - open: 19856.000000, high: 19858.000000, close: 19854.000000, low: 19854.000000, volume: 61
2017-01-12 03:33:00 - open: 19854.000000, high: 19855.000000, close: 19854.000000, low: 19854.000000, volume: 15
2017-01-12 03:34:00 - open: 19853.000000, high: 19855.000000, close: 19853.000000, low: 19853.000000, volume: 21
2017-01-12 03:35:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19853.000000, volume: 19
